chrom	start	end	name	score
chr1	5758281	6359521	2	0.007379327507978888
chr1	7856438	8493750	15	0.004323923096587453
chr1	14711802	15089994	27	0.008712913256684293
chr1	26780389	26989453	5	0.0229549200921945
chr1	51217575	51336619	13	0.0035176793809608736
chr1	93088471	93294034	11	0.005211979750082579
chr1	114725108	115702047	7	0.017213777246936336
chr10	47184277	47650133	244	0.005040644798368895
chr10	58218870	58714895	243	0.004094606881698579
chr10	77295386	77414429	251	0.0003553824266885734
chr10	77918891	78043175	246	0.00014775589857062086
chr10	89560990	89680033	241	0.001463981073213836
chr10	89965304	90084347	239	0.014936348691861837
chr11	39985638	40635879	287	0.003463600504146333
chr11	45931344	46402442	264	0.011559464334640885
chr11	62685002	63185231	261	0.003931981728529287
chr11	64602254	65066589	273	0.0010803912976591618
chr11	68133517	68341010	266	0.002571374110043241
chr11	69896864	70147013	283	0.003663196706278041
chr11	72023274	72313020	289	0.0045684543385747945
chr11	75846730	76992775	279	0.001094199194589274
chr11	80339167	80463952	265	0.0035042424666479974
chr11	83964212	84366423	284	7.472627418607653e-05
chr11	85972100	87096374	280	0.0020556421574226065
chr11	113905768	114104249	260	0.0006078164227637062
chr12	45348202	45969805	301	0.008215458520897664
chr12	52402269	53168356	310	0.007744928376732231
chr12	58096082	58747276	302	0.0029959578115568166
chr12	67138261	67494262	313	0.000562805032696313
chr12	74618787	75789025	305	0.005514148386039444
chr12	99864342	100151810	308	2.942647578719468e-05
chr13	32621411	32950651	321	0.0018661884166795118
chr13	48939729	49058772	318	0.006524647370145431
chr13	50860815	51455790	324	0.003787196474886616
chr14	27537653	29081983	344	0.002112274745108379
chr14	33699932	33818975	334	0.0019902024568879506
chr14	40295008	40722782	337	0.001465643267677703
chr14	67168861	67652025	342	0.0031215530669646595
chr14	68742331	68861374	328	0.0010775162158502384
chr15	32159195	32278239	352	0.0023012252020381406
chr15	41285416	42451276	355	0.0029310663151954023
chr15	57326607	57557542	356	0.0018984143329352865
chr16	3723115	3842158	367	0.0009061989733576188
chr16	23317721	24116798	360	0.0008581856570096922
chr16	53432883	54385775	371	0.014076514537986496
chr16	72508842	72677340	365	0.0034842613506708823
chr16	78647303	78766346	357	0.0016797408820667624
chr16	79003131	79122175	361	0.0011692578783003454
chr16	83335710	83621823	372	0.005167009594517298
chr17	7514447	7633490	378	0.06141728834961359
chr17	11812452	11954002	380	0.03492397083658175
chr18	24556761	25643499	400	0.008051966361614506
chr18	48538690	48667732	399	0.0011483341119022665
chr19	18878316	19376690	415	0.00344980684503527
chr2	133733042	133852085	36	0.00042724004174193614
chr2	136044235	136519191	43	0.002606216125232523
chr2	141852754	141971797	29	0.018179189573268785
chr2	148743553	149033199	49	0.0017483321174435714
chr2	186890810	187009853	45	0.001080676687773666
chr2	187311700	187430743	52	0.00013110892492529974
chr2	213742720	213861867	34	0.004168636605831703
chr2	233842479	234065299	37	0.004499032625372445
chr21	24076479	25427169	437	0.0193901418705448
chr21	36239813	36482914	436	8.597815287834519e-05
chr3	50335869	50878720	67	0.040249018803758085
chr3	60412240	60531283	62	0.03523976346746907
chr3	71264717	71383760	69	0.15678296948421472
chr4	10020807	10139850	112	0.000654422040589385
chr4	19579540	19803047	99	0.0015233940796511402
chr4	20311739	20481287	119	0.001956505147907629
chr4	21103783	21432337	116	0.010268398744210091
chr4	33780693	33991366	95	0.0172541376540109
chr4	60108690	61998938	102	0.0038997046660757956
chr4	82008971	83123763	108	0.0028616854190429307
chr4	87477561	87703607	120	0.0018674349205571419
chr4	91777414	91896457	94	0.0016560455518642824
chr4	132708393	134560407	107	0.0017180007984953281
chr4	182144814	182263857	93	0.0014280348196864922
chr4	183140721	183429619	106	0.0022027558585435664
chr4	187440453	187801507	111	0.003413884423538878
chr5	56089524	56416824	138	0.0588362856545098
chr5	58500285	58619328	126	0.002984683042336225
chr5	59259354	59378397	122	0.02106186843054584
chr5	66644179	68066878	147	0.04077949053448632
chr5	100075960	100806984	136	0.0017249311194327177
chr5	130572420	131214333	134	0.03983369681885815
chr5	165556098	165722992	128	0.032737368544481595
chr6	1907547	2026590	156	9.192816938718954e-05
chr6	27812438	28791272	160	0.0005265367494469817
chr6	38059700	38619466	170	0.0021279749292572995
chr6	45107899	45651436	164	0.0035170647134601086
chr6	68476072	69410191	162	0.005468819939229549
chr6	162662514	162781557	150	0.005264896709326437
chr6	168372497	168491540	167	0.00038420298458772547
chr8	3742692	3861735	197	0.010239088239998561
chr8	22205917	23093349	194	0.021493434659896914
chr8	36071242	37065643	210	0.014497250931789753
chr8	37285837	38080166	199	0.007216439058207065
chr9	9423309	9542352	217	0.004123425941006099
chr9	10991477	11494076	228	0.0026295747083622126
chr9	16665363	17111348	223	0.0015874949855522787
chr9	21941390	22060433	213	0.046879789380677724
chr9	26270391	26679836	216	0.006746656116533951
chr9	28247759	28459511	225	0.0040952340184871976
chr9	31388255	32049495	222	0.003458607672048646
chr9	131864217	133255541	238	0.0024010298594210515
