chrom	start	end	name	score
chr1	10824979	10988820	21	0.000316095503852323
chr1	24603397	25020960	26	5.675658031670333e-05
chr1	31805355	32202812	18	0.002244468255044825
chr1	40434842	40770691	0	0.0021585596682632364
chr1	106869942	108231644	14	0.0008189416651185758
chr1	150571678	150741615	16	0.013465596075898376
chr1	151549752	151797157	1	0.007019208546725547
chr1	153540304	153734176	28	0.001980424285185875
chr1	154839176	155157122	20	0.004708657018303235
chr1	160914013	161088587	8	0.0007879663636386655
chr1	171732923	172364467	19	0.00025917111805629476
chr1	204393519	204512562	4	0.008073238004708229
chr10	5019540	5275655	240	0.0026619608448934166
chr10	8854729	9324669	249	0.004574278584041644
chr10	11675709	12164521	255	0.0009420911552561017
chr10	47408334	47827719	253	0.002220817871011329
chr10	54960117	56167514	248	0.0037092081108247607
chr10	61702484	61821527	250	0.0019038554233782095
chr10	63080956	63794123	242	0.004042979440938335
chr10	65364015	65713333	256	0.001050864431403137
chr10	76654523	76935967	245	0.0022407801114854354
chr10	77060107	77208323	258	0.0006866809788108426
chr10	79624190	79947792	257	0.0033226727839293065
chr10	83068024	84207260	252	0.0033754922883928685
chr10	126144907	126666595	254	0.0006303637393136511
chr11	13513869	14247668	278	0.0004918644216329412
chr11	32068935	32537281	281	0.00130134355759316
chr11	34672395	34791439	263	0.0010221810857128566
chr11	40096845	41086885	269	0.004590530450770493
chr11	46293298	46643939	274	0.0002673220017899069
chr11	61916375	62341111	272	7.586595319104815e-05
chr11	65228434	65347477	275	0.0008392255974674953
chr11	66919618	67140796	286	0.006820975789451516
chr11	69434720	69553763	285	0.009628396304989899
chr11	70165110	70284154	276	0.004178593256880943
chr11	70971824	71178480	282	0.0007549565251947568
chr11	72854062	73181590	288	0.0004789839012814814
chr11	73901947	74555388	270	0.0007549565251947568
chr11	77540996	77660040	259	0.004664152638651459
chr11	81822736	82785608	268	0.0016813880268136169
chr11	88179066	88819047	267	0.0019735335110307064
chr11	91183729	91578517	277	0.002306989834303161
chr11	100071333	100456683	262	0.003037365477028204
chr11	102318256	102445858	271	0.0007907503078243605
chr12	4005735	4630644	295	0.00046280755244750075
chr12	19777246	20304059	293	0.002764553128868385
chr12	25088072	25291758	291	0.0006226022802602909
chr12	26308757	26427801	311	0.0001914601826157665
chr12	27312183	27724555	300	0.0012589712383478272
chr12	46271490	47236325	296	0.005687539933361295
chr12	52494771	52613815	307	0.008368475064454019
chr12	56477038	56596081	303	0.001828459789687512
chr12	58142641	58261684	292	0.0003880860876741942
chr12	60147861	60485820	298	0.005877947299567255
chr12	65893626	66407162	306	0.0053095030070513674
chr12	69490369	69636780	317	0.013899112749901807
chr12	95808951	96199625	309	0.00495361561644968
chr14	23728314	24063263	340	0.0009670286616260418
chr14	26800466	27255014	330	0.0016901417363579022
chr14	31251044	32181349	335	0.000372986379726979
chr14	35775195	35986175	327	0.004059999171990472
chr14	37812674	38058478	332	0.004279578829130772
chr14	41913376	42582518	338	0.0006950575116489593
chr14	50417151	50545245	329	0.00179384545619863
chr14	77434967	77554011	333	0.0004686337679090874
chr14	105063008	105441266	343	0.0004582161346264229
chr15	25582394	25937167	350	0.004825362706023654
chr15	71820985	71940029	348	0.0011134575217341674
chr15	72595833	72930283	353	0.00076469217131823
chr15	87405293	87541302	345	0.0009598517528874839
chr15	90660290	90871493	349	0.001461176037324249
chr15	93255720	93374763	346	0.0008574547963252189
chr16	1995842	2383828	368	0.03975908189029606
chr16	4202082	4345377	373	0.0076650360549470505
chr16	11731483	11869700	359	0.019773434408614347
chr16	18839445	19602747	369	0.007862297609288684
chr16	29044352	29740329	362	0.00011482160970312557
chr17	31063757	31344450	384	0.0020235606799101397
chr17	36040114	36220312	388	0.0008692430374253901
chr17	37814919	37933962	375	0.005171216268471501
chr17	46328894	46556435	383	0.00358993070081598
chr17	48593060	48789511	386	0.0004059871460428087
chr17	50404258	50789048	377	0.008711239427527438
chr17	60648695	61741852	382	0.006035602722533806
chr17	67196640	67890043	374	0.0025280630068729576
chr17	77734233	78056848	390	0.001443234199637165
chr18	3374767	3499942	396	0.018065523351933913
chr18	9476695	10938627	406	0.0010522969627037367
chr19	33519365	33816790	410	0.002617532254373796
chr19	35468671	35852015	417	0.0019151332803838427
chr19	37789605	38291932	408	0.002776913865825747
chr19	39664941	39859916	411	0.003547508068071584
chr19	45197410	45316453	412	0.0007994149083712169
chr2	28760823	28879866	44	0.002294114240113496
chr2	43133499	43364389	48	0.0015557168859272616
chr2	56719500	57272851	55	0.0012560839800860155
chr2	61280524	61940385	31	0.0021046389964723107
chr2	67058791	67247154	50	0.0009820682256767672
chr2	85161928	85620345	39	0.009762279779576496
chr2	103076527	103501295	38	0.0010992890111807643
chr2	114022993	114142037	35	0.0004764860801340697
chr2	116118599	116503797	32	0.0020223498857913184
chr2	117826949	118320719	60	0.0010473184247736839
chr2	123203267	124277151	42	0.00041686133308110386
chr2	140652913	141053948	53	0.0007703540457667983
chr2	159524119	159891349	40	0.000690099741526889
chr2	177598943	178479541	33	0.000857635877931878
chr2	191054682	191532321	30	0.0005409517821767769
