chrom	start	end	name	score
chr1	151845010	151964054	32	0.05513175926219471
chr1	153959136	154078180	36	0.011385619097027264
chr1	154947153	155066196	37	0.012443603638692114
chr1	160033731	160152774	40	0.004145687354931431
chr1	161007968	161127012	41	0.03234915147914572
chr1	162574800	162693843	44	0.008268812321430973
chr1	164117964	164237007	45	0.037795455497010605
chr1	172168022	172287065	48	0.003818727832033692
chr1	183100349	183219392	51	0.004699859119961577
chr1	183821321	183940364	52	0.012645460530899832
chr1	204419795	204538839	59	0.0443921409390269
chr10	5036270	5155313	561	0.00455901030885883
chr10	9202100	9321144	562	0.001995246433246534
chr10	11908478	12027522	563	0.00012976975504647506
chr10	13662215	13781258	565	3.396327425335527e-05
chr10	27295961	27415005	568	0.00012693626481369012
chr10	32296478	32415522	569	0.0011472374237364296
chr10	33215783	33334826	570	7.435615467654527e-05
chr11	34705617	34824660	611	0.010249698952597775
chr11	44224478	44343522	613	0.009090086896094545
chr11	45971756	46090799	615	0.0081246050215934
chr11	60785059	60904103	617	0.006592121568346872
chr11	62027209	62146252	618	0.003403203436910868
chr12	20344104	20463147	677	0.03157813324757698
chr12	46642802	46761845	687	0.023202503102412175
chr12	58152689	58271732	696	0.0005199247353968123
chr12	60042251	60161294	698	0.0020957775977446455
chr12	65935599	66054642	699	0.004420455086038891
chr12	69128478	69247522	702	0.007925491835434105
chr12	69760361	69879404	703	0.014813741878439302
chr12	125048478	125167522	713	0.004026996696841236
chr12	126896478	127015522	714	0.0002246382926576661
chr13	24672721	24791764	715	0.00047757443306510237
chr13	27460478	27579522	716	0.001564641404120457
chr13	30771598	30898271	717	0.004156762528338721
chr13	39863756	39982799	719	0.00128639192850999
chr13	44724478	44843522	720	0.0008397253156253067
chr13	73848478	73967522	725	0.0019994134744920917
chr13	91796478	91915522	727	0.0006457500196703568
chr13	95944478	96063522	730	0.0015664368320998155
chr13	110265147	110384190	733	0.0010354455478786674
chr13	110774596	110893639	734	0.0004654574389593927
chr17	32315098	32438248	826	1.559403747463917e-05
chr17	37797672	37916715	831	0.03126870628377238
chr17	39080995	39200038	832	0.001554315265303955
chr17	39700478	39819522	834	2.7049743238764612e-05
chr17	46108860	46227903	838	0.0008147479823347522
chr17	47245218	47364261	839	0.004476642344948948
chr17	48756478	48875522	840	0.011975416039064673
chr17	50552478	50671522	841	0.0023518122452370754
chr17	58040789	58159832	845	0.021678362525173484
chr17	63904546	64023589	848	0.012275194954868856
chr17	71306739	71425782	850	0.0026892177749398413
chr17	73405696	73524739	851	0.0038525486528030724
chr17	77736478	77855522	852	0.0065326098321926976
chr19	55950744	56069787	903	0.05148726280978886
chr2	27637267	27756310	82	0.0012029115198422572
chr2	42137770	42256814	88	0.0021568105038591305
chr2	56968397	57087440	95	0.0007269101528048401
chr2	61461167	61580210	96	0.030682319421338186
chr2	62608231	62727274	97	0.008058691658539865
chr2	67280013	67399056	98	0.00026218350575469673
chr2	68109529	68228572	99	0.0010443154358351517
chr2	74388253	74507296	101	0.0008427959017113556
chr2	82060478	82179522	103	1.495142155513635e-06
chr20	34076149	34195193	909	0.006359436547965274
chr20	46007090	46126133	913	0.004011535813259509
chr3	107600920	107719964	190	0.008266042103086678
chr3	110654095	110773138	191	0.004605598871801751
chr3	112114338	112233381	192	0.008491697364852772
chr3	113803099	113922142	193	0.0026304707333947614
chr3	115239836	115358879	195	0.002382339209746908
chr3	138423169	138542212	200	0.0022662065028506346
chr3	149163293	149282336	201	0.00496005506754117
chr3	168568478	168687522	204	0.003636009184538502
chr3	169350055	169469098	206	0.00146078378740065
chr3	169610953	169729996	207	0.002084513561271237
chr3	172160491	172279534	209	0.00018349044200306638
chr3	173760882	173879925	210	0.000473724678273313
chr3	174356024	174475067	211	0.004804899634978038
chr3	178869195	178988238	216	4.354192402167977e-05
chr3	187655169	187774213	219	0.006910150733177122
chr6	2653755	2772798	352	0.020137376863482943
chr6	4545300	4664343	353	0.006417285426316069
chr6	6901319	7020362	355	0.012089812805794048
chr6	11249784	11368827	356	0.004440559818835136
chr6	13383912	13502955	357	0.0025321843964317262
chr6	18320478	18439522	358	0.00781326224967933
chr6	20392478	20511522	359	0.00016227445036649845
chr6	21555199	21729893	361	0.0015793213473271359
chr6	30604478	30723522	366	0.00022533154555471306
chr6	31776478	31895522	368	0.017396080217295082
chr6	32795512	32914555	370	0.0040845009443882824
chr6	39750845	39869889	375	0.0006170914555976481
chr6	41353592	41472635	376	0.000342156512490612
chr6	41792782	41911825	377	0.011950133322634119
chr6	42556478	42675522	378	0.005219197838102913
chr6	43384478	43503522	380	0.008285278356639229
chr6	43792478	43911522	381	0.0085628029403027
chr6	47792478	47911522	383	0.009219554861043233
chr6	51236093	51355136	385	0.0024277900467793473
chr6	52272108	52391151	386	0.004299880368714739
chr6	52967879	53086923	387	0.015147375512953807
chr7	66544261	66663304	426	0.024482089934636932
chr7	92372579	92491622	439	0.06503153296533128
chr7	98804944	98923987	440	0.019109633794085618
chr7	99587282	99706325	441	0.0008694132242541437
chr7	104474399	104593442	446	0.00039059323963755655
chr8	102051855	102170898	499	1.1373810080684611e-05
chr8	118924478	119043522	503	0.02313871117101092
chr8	121172478	121291522	505	0.0036015536142398326
chr8	128289701	128408744	508	0.0011464184690767138
chr8	128632043	128751087	509	0.023449465209039073
chr8	137368960	137488003	514	0.04201053385400348
chr9	6663911	6782955	525	0.005000201871887195
chr9	35615894	35734937	548	0.006878858693429537
chr9	36860098	36979141	549	0.0016923697084719963
chr9	114672478	114791522	554	0.005241815309107709
