chrom	start	end	name	score
chr1	4227963	4347006	0	0.002854362213607766
chr1	6151201	6270244	1	0.013188625613680975
chr1	7942696	8061739	2	0.009576278779859025
chr1	10536421	10655465	3	0.001105441428497387
chr1	20879771	20998814	7	0.0042477236012698795
chr1	26788020	26907063	10	0.03887115073576815
chr1	48934739	49053782	18	0.0022910374814259383
chr1	92812308	92931351	23	0.006698237954103295
chr1	110857627	110976671	26	0.006399542049013912
chr10	47608588	47727615	331	0.0024786092460136614
chr10	51488559	51607602	334	1.2280415795776086e-05
chr10	54584647	54703691	335	0.0010628070751344495
chr10	56643056	56777011	336	0.0037475197794610967
chr10	66728824	66847867	340	0.002909699435073653
chr10	74232720	74351764	342	9.725759653560465e-05
chr10	75640715	75759758	345	0.0019392539158631704
chr10	76056393	76175436	346	0.0013770214066873966
chr10	88023240	88142283	350	0.03742565641573952
chr10	110932549	111051593	351	0.0003222755240574215
chr10	112656489	112775532	352	0.0005750642193615364
chr11	40411372	40530415	358	0.0033052746444828984
chr11	46206310	46325355	360	0.0018861577203040287
chr11	62958560	63077843	363	0.0036223337651601897
chr11	68642182	68761225	369	0.003975288972463975
chr11	70676579	70795622	373	0.00196884958042418
chr11	71861432	71980476	375	0.0035335395484909723
chr11	80558042	80677085	382	0.0019001967252986213
chr11	82277673	82396716	383	0.002159119863595579
chr11	84280308	84399351	385	3.0030264870401315e-09
chr11	85986567	86105612	386	0.0009797271335470847
chr12	45058695	45177739	405	0.007397130529797666
chr12	58086057	58205100	412	0.008108717691965925
chr12	66986441	67105485	414	0.0008522211243594992
chr12	68202497	68321540	416	0.0011707268500872998
chr14	33242977	33362021	439	1.7689684545023716e-05
chr14	66969761	67088805	448	0.007122577753763773
chr14	67861761	67980805	450	0.003747411361508685
chr14	68523434	68642477	452	0.0063982501509957275
chr16	3594715	3713758	475	0.001109382141091064
chr16	6638122	6757165	478	0.0005557418444697674
chr16	23496965	23616009	483	0.0019185764714425653
chr16	51528392	51647435	487	0.013194263030599342
chr16	72457097	72576140	491	0.00015910208400583546
chr16	78659578	78778621	493	0.0022490578126469216
chr16	83075225	83194268	495	0.01192531301443661
chr17	7597160	7716204	496	0.05850805355776776
chr17	8030064	8149108	497	0.033266724161369166
chr17	11976605	12095648	498	0.06036416738585574
chr18	28647327	28766370	532	0.04182684876086549
chr18	51018108	51137152	538	0.033063963919402035
chr19	19073669	19192713	545	0.0052074337059789255
chr2	133062905	133181950	79	0.00046358203452094793
chr2	135370908	135489952	81	0.002469651381593213
chr2	138362361	138481404	83	0.0008340424836799355
chr2	141082909	141201953	85	0.002122853544294116
chr2	148208375	148327419	87	0.0009937811051782238
chr2	159062302	159181346	91	7.428089026459486e-05
chr2	184287751	184406795	94	0.0015805248507495975
chr2	194882637	195001680	97	0.0044988982704560025
chr2	204971768	205090810	101	0.00021258932354405123
chr2	211550386	211669429	102	5.48406697549689e-06
chr2	212727680	212846723	103	0.0026337095953329896
chr2	213835736	213954779	105	0.004025566673796278
chr2	232701653	232820697	107	0.0005786460140610153
chr2	233221998	233341042	108	0.0068746500265133605
chr2	235885002	236004045	109	0.0003491614952693095
chr21	20624165	20743204	566	0.003087740683096048
chr21	23336110	23455156	567	0.002795484324323029
chr22	28878001	28997044	572	1.779068487757569e-06
chr3	4542794	4661838	111	0.005919443427225819
chr3	50642090	50761133	120	0.0382316330797853
chr3	60461946	60580989	122	0.027821216300098293
chr3	71113887	71232930	127	0.006459107843204939
chr3	72728653	72847696	128	0.009191679539531332
chr4	10038854	10157898	161	0.0031728790641828894
chr4	19436182	19555225	166	0.0035724681333931642
chr4	21134855	21253899	167	0.0015311484665003153
chr4	33759591	33878634	169	0.0068319425035152995
chr4	86492826	86611870	180	0.01201271561234444
chr4	90772430	90891473	183	0.0025284451399479016
chr4	179133307	179252351	188	0.0044581801511170294
chr4	181255436	181374479	189	0.010811661528862895
chr4	182341744	182460787	190	0.00828942082820524
chr4	186702296	186821339	191	0.0015417204423946286
chr5	56620651	56739695	211	0.04734095870740877
chr5	59266286	59385329	213	0.014875407809693693
chr5	60102775	60221818	214	0.05721828942791725
chr5	131741067	131860110	217	0.02634785394287538
chr5	166069749	166188792	221	0.017772151855834386
chr6	1880244	1999288	226	0.0011402628742768184
chr6	28448679	28567722	234	0.002045553138064539
chr6	38340385	38459429	237	0.0009286912455974077
chr6	156889591	157008634	247	0.004544496037561654
chr6	162272027	162391070	248	0.014550560824572737
chr6	167879139	167998182	249	0.0023185587523388293
chr6	169712459	169831502	250	0.007375143394543511
chr7	69979492	70098536	261	0.008964861658940929
chr7	78321863	78440907	262	0.0045601731361544105
chr7	91003026	91122070	264	0.0024749182100026234
chr7	101993198	102112242	267	0.0053915886061488985
chr7	110472421	110591466	269	0.008292885513604341
chr7	127145101	127264145	271	0.0011161481957705022
chr7	152068182	152187226	277	0.0054448186305234465
chr7	158147100	158266143	278	0.0019854532895392752
chr8	3790699	3909742	279	0.007162804295317264
chr8	6374957	6494001	280	0.0045317146225282165
chr8	34981360	35100403	286	0.033433373330961635
chr8	37723231	37842274	289	0.010711431932853465
chr9	9404478	9523522	305	0.0052697533326401804
chr9	11017701	11136744	306	0.009272214623624415
chr9	17374280	17493324	310	0.01004569844843336
chr9	21916479	22035523	312	0.03181854396907524
chr9	26488480	26607524	314	0.010559588024842064
chr9	28524817	28643860	317	0.004536272003526117
chr9	31256547	31375590	320	0.0033200533916848372
