chrom	start	end	name	score
chr1	40525328	40677071	1	0.004297022226854908
chr1	150911747	151052747	2	0.002353756604519339
chr1	204383521	204524521	4	0.003339525498641506
chr1	155112079	155253079	7	0.0020485728683754816
chr1	160978991	161119991	9	0.0029185354642461262
chr1	234890001	235031001	10	0.0027341919370969556
chr1	171862709	172192253	12	0.00283067209280645
chr1	62065390	62718530	13	0.002736542288685866
chr1	109251510	110177361	15	0.0022082333759951603
chr1	31890745	32119632	16	0.0020757100169801366
chr1	10765757	11069149	17	0.0014632999272694224
chr1	202040510	202181510	21	0.002204433202026928
chr1	156123744	156264744	24	0.0019083733034887724
chr1	46752197	46971690	26	0.002570437244335156
chr1	151714144	151855144	27	0.002138347884936236
chr1	153568873	153709873	28	0.0020010816179535235
chr1	180441769	180582769	29	0.00231351522913736
chr1	15931422	16111543	31	0.0014305373985105104
chr1	158334313	158604360	32	0.0018817572726856175
chr2	190886140	191771935	35	0.0042755714396985455
chr2	61143789	61421230	36	0.00245488489226
chr2	177785374	178272102	37	0.004202975212376591
chr2	116454543	116747695	38	0.0024897539393505465
chr2	114011509	114152509	40	0.0030039975554894864
chr2	103204954	103401096	43	0.002120349373951678
chr2	85333353	85589857	47	0.002437720930326866
chr2	159569792	159824461	48	0.003143516483960754
chr2	28757268	28898268	49	0.0026148173821780207
chr2	43278381	43419381	52	0.0022872810203511855
chr2	67053308	67343973	55	0.0018436811096279294
chr2	69912623	70053623	57	0.0017648232363775948
chr2	140718692	141039434	59	0.0025518295853488443
chr2	68121683	68262683	60	0.0016168078071850367
chr2	56771811	57226050	62	0.002438839355355162
chr2	20316099	20457099	64	0.0017702645803837997
chr2	213503704	213687309	65	0.0022247896807025126
chr2	118189455	118352558	66	0.0022126418696208983
chr3	172197442	172338442	67	0.0028154305862787975
chr3	181266352	181568374	70	0.0025610279839713324
chr3	168650028	168791028	71	0.003257438645338481
chr3	32230903	32371903	75	0.001792482732972815
chr3	66671135	66812135	76	0.002019621877627266
chr3	13648843	13789843	78	0.0019395042240127162
chr3	148846723	149370470	79	0.0030723364362041997
chr3	166082591	166307230	80	0.0028057992967078674
chr3	169554954	169695954	81	0.002812520564181133
chr3	9292675	9433675	82	0.0015938948265839846
chr3	107654292	107795292	85	0.002646053341390141
chr3	177102711	177382876	86	0.0023360055069826012
chr3	69311439	69653599	87	0.0018948564366595346
chr3	174067126	174208126	89	0.002430073317502172
chr3	113505072	114088975	90	0.002228385840009992
chr3	61325511	61490461	91	0.0013857359635882425
chr3	53163262	53304262	93	0.001325582993275851
chr3	188989993	189130993	94	0.0031432674335901034
chr3	193680488	193821488	98	0.0008729565160162465
chr3	4779662	4920662	100	0.001143405756404916
chr3	12208992	12541216	101	0.0013781651752470586
chr4	57524873	57665873	103	0.0036847409638610727
chr4	73892321	74110725	104	0.0029771096114840244
chr4	10188691	10329691	109	0.00311581505325912
chr4	144165899	144334243	110	0.003786357761869118
chr4	33320160	34189293	111	0.0027188658292180323
chr4	1702816	1843816	112	0.00223610463742134
chr4	64965905	66014783	113	0.0026166160908466973
chr4	77375860	77546667	115	0.002354925313527122
chr4	20415165	21196842	118	0.002159784107051933
chr4	90902222	91043222	119	0.0025435090132055467
