chrom	start	end	name	score
chr1	879584	894689	NOC2L	0.9779164136255728
chr1	1246965	1260071	CPSF3L	0.9692486059736102
chr1	1337288	1342693	MRPL20	0.9533484237840225
chr1	1477053	1510249	SSU72	0.9853696240269421
chr1	6241329	6269449	RPL22	0.9479379451222879
chr1	6581407	6614595	NOL9	0.9729476066913267
chr1	8921061	8939308	ENO1	0.9671506652680396
chr1	10458649	10480201	PGD	0.9852592060950699
chr1	11166592	11322564	MTOR	0.9649975155965329
chr1	17345217	17380665	SDHB	0.9775851598299564
chr1	19665267	19812066	CAPZB	0.9495942141003699
chr1	20978270	20988000	DDOST	0.9800143543311434
chr1	24018269	24022915	RPL11	0.9930436702920554
chr1	24958207	24999758	SRRM1	0.9568265886379949
chr1	26758773	26797785	DHDDS	0.9909457295864849
chr1	27202624	27216788	GPN2	0.9988406117153427
chr1	27226729	27273353	NUDC	0.9628443659250263
chr1	28218035	28241257	RPA2	0.9473858554629272
chr1	28832455	28865812	RCC1	0.991829073041462
chr1	32687529	32697205	EIF3I	0.9742174129078562
chr1	33065773	33116504	ZBTB8OS	0.984486280571965
chr1	33240840	33283754	YARS	0.9895102964721472
chr1	35641979	35658749	SFPQ	0.9752663832606415
chr1	36067185	36107445	PSMB2	0.9703527852923315
chr1	36185819	36235568	CLSPN	0.9484900347816486
chr1	38000050	38019903	SNIP1	0.9552255286258489
chr1	38147242	38157914	C1orf109	0.9817810412410976
chr1	38158090	38175391	CDCA8	0.949649423066306
chr1	38268616	38273857	YRDC	0.9773643239662122
chr1	38422647	38456593	SF3A3	0.9748799204990891
chr1	40157854	40229586	PPIE	0.947220228565119
chr1	41445007	41478235	CTPS1	0.9839341909126043
chr1	42921788	42939056	PPCS	0.9485452437475846
chr1	43824626	43828874	CDC20	0.9927676254623752
chr1	43849588	43855479	MED8	0.9478275271904157
chr1	44412611	44433694	IPO13	0.9902832219952521
chr1	44440159	44443967	ATP6V0B	0.9932645061557998
chr1	45240923	45244451	RPS8	0.9973499696350687
chr1	45316450	45452282	EIF2B3	0.9931540882239276
chr1	45477819	45481247	UROD	0.9546734389664882
chr1	52838501	52870131	ORC1	0.9659912769833822
chr1	53692564	53704282	MAGOH	0.9551151106939767
chr1	76251879	76260764	RABGGTB	0.9820570860707779
chr1	89318615	89357627	GTF2B	0.9890134157787225
chr1	91966408	91991321	CDC7	0.9662121128471264
chr1	93297582	93307481	RPL5	0.9953624468613703
chr1	104068313	104097861	RNPC3	0.9643902169712362
chr1	109234945	109244425	PRPF38B	0.9875779826643848
chr1	109756540	109780791	SARS	0.9873019378347044
chr1	109941653	109969062	PSMA5	0.961022470049136
chr1	110527308	110566357	AHCYL1	0.9490421244410092
chr1	111982512	111991998	WDR77	0.9726715618616464
chr1	112297867	112310638	DDX20	0.9831612653894993
chr1	113454469	113499635	SLC16A1	0.9586484845138851
chr1	116915290	116952883	ATP1A1	0.9591453652073098
chr1	118472343	118509165	WDR3	0.9869706840390879
chr1	145289772	145370303	NBPF10	0.9779716225915089
chr1	145507598	145513536	RBM8A	0.9928228344283112
chr1	145592605	145611025	POLR3C	0.9668194114724231
chr1	149754245	149783928	HIST2H2BF	0.9508088113509634
chr1	149784826	149785236	HIST2H3D	0.9849279522994535
chr1	149811110	149812765	HIST2H3C	0.9681996356208249
chr1	149813505	149814478	HIST2H2AA3	0.9515265279081323
chr1	149822643	149823191	HIST2H2AA4	0.9514713189421963
chr1	149824181	149825836	HIST2H3A	0.9682548445867609
chr1	149895209	149900236	SF3B4	0.9859769226522388
chr1	150459887	150480078	TARS2	0.9620162314359852
chr1	151227179	151239955	PSMD4	0.9544526031027439
chr1	151372010	151374420	PSMB4	0.9917186551095898
chr1	151732119	151736040	MRPL9	0.9605807983216474
chr1	153634512	153643524	ILF2	0.9484348258157125
chr1	153700543	153746555	INTS3	0.9946447303042014
chr1	155278539	155290457	FDPS	0.9809529067520566
chr1	155657751	155708801	DAP3	0.9509744382487716
chr1	156024543	156028301	LAMTOR2	0.9456743775189091
chr1	156182784	156212874	PMF1	0.9716225915088611
chr1	156219015	156252620	SMG5	0.9787445481146139
chr1	156278759	156337664	CCT3	0.9965770441119638
chr1	156691683	156698591	ISG20L2	0.9754320101584498
chr1	160259063	160313190	COPA	0.9473306464969912
chr1	163236366	163325554	NUF2	0.955391155523657
chr1	173793641	173827684	DARS2	0.9451774968254845
chr1	174979925	174992561	MRPS14	0.9574890962292276
chr1	182808504	182856886	DHX9	0.9518577817037487
chr1	193091147	193223031	CDC73	0.9856456688566223
chr1	203830731	203839678	SNRPE	0.9884061171534257
chr1	205055270	205091143	RBBP5	0.9506431844531552
