chrom	start	end	name	score
chr1	4227963	4347006	0	0.003696831859608066
chr1	6151201	6270244	1	0.00940418535647671
chr1	7942696	8061739	2	0.006312298503413911
chr1	10536421	10655465	3	0.0044497624206668585
chr1	20879771	20998814	7	0.002850369777698061
chr1	26788020	26907063	10	0.00990601390250863
chr1	50638878	50757921	19	0.001023908764467396
chr1	92812308	92931351	23	0.003010459644601474
chr1	110857627	110976671	26	0.013249024395647707
chr10	22342056	22461100	329	0.0055652739936867136
chr10	24395920	24514963	330	0.00661363391918172
chr10	51488559	51607602	334	3.2849466005512136e-06
chr10	56643056	56777011	336	0.006636023036587966
chr10	66728824	66847867	340	0.001426224404393826
chr10	88023240	88142283	350	0.03485545875703641
chr10	110932549	111051593	351	0.0008365063105072827
chr10	112656489	112775532	352	0.0014926508919653207
chr11	40411372	40530415	358	0.00016469988212075622
chr11	46206310	46325355	360	0.00786411511574276
chr11	62958560	63077843	363	0.002627141030618761
chr11	68642182	68761225	369	0.0019266554206657431
chr11	71861432	71980476	375	0.0020973871311510115
chr11	84280308	84399351	385	4.710824646255912e-09
chr11	85986567	86105612	386	0.006109320312173082
chr12	12519606	12638649	397	0.006009172308150978
chr12	16261347	16380391	398	0.004305803490194589
chr12	23695270	23814314	400	1.0471758405592955e-05
chr12	26511545	26630589	404	0.0025261274672889753
chr12	58086057	58205100	412	0.00014509632330285115
chr12	68202497	68321540	416	0.000444907006985411
chr13	32160562	32284541	424	0.0020145829713732705
chr13	48367559	48486602	425	0.004252367400501209
chr13	48586342	48705386	426	0.003804239512357495
chr13	50327992	50447036	427	0.003217167445298522
chr13	83934035	84053078	429	0.0020424206100473014
chr13	93558092	93677135	431	0.0011091720353636869
chr13	112049822	112168865	434	0.00173131152889415
chr14	68523434	68642477	452	0.00018697948719551612
chr15	31914076	32033119	459	0.0010537099270052199
chr15	41672280	41791324	461	0.0031653360119027487
chr15	52385692	52504735	463	0.0002756046749192856
chr15	57098702	57217745	464	0.00044046533177412474
chr15	74689495	74808538	470	4.0037179191077574e-05
chr16	51528392	51647435	487	0.030052374263381577
chr16	72457097	72576140	491	6.885112320725875e-05
chr16	78659578	78778621	493	0.006472286694055467
chr16	83075225	83194268	495	0.009717722110638713
chr17	7597160	7716204	496	0.08374282943904963
chr17	8030064	8149108	497	0.0281398408410914
chr17	11976605	12095648	498	0.004518268697719661
chr18	28647327	28766370	532	0.007216319663706756
chr18	51018108	51137152	538	0.01786994091933727
chr19	19073669	19192713	545	0.009751210852172095
chr2	133062905	133181950	79	0.0028617592282242058
chr2	135370908	135489952	81	0.01701940014438503
chr2	138362361	138481404	83	0.005830290916046935
chr2	141082909	141201953	85	0.008530782751436176
chr2	148208375	148327419	87	0.00622720068552327
chr2	159062302	159181346	91	0.00017234555582378036
chr2	184287751	184406795	94	0.0069156781206839235
chr2	204971768	205090810	101	0.0009180886834681216
chr2	211550386	211669429	102	1.226169522120053e-05
chr2	212727680	212846723	103	0.0005058544900641675
chr2	213835736	213954779	105	0.002671915658631008
chr2	232701653	232820697	107	0.0037392314190003526
chr2	233221998	233341042	108	0.00922105275289482
chr2	235885002	236004045	109	0.001705319661377564
chr22	28878001	28997044	572	0.00686969022927904
chr3	50642090	50761133	120	0.03972603674163523
chr3	60461946	60580989	122	0.08651879840577137
chr3	71113887	71232930	127	0.049965198765480875
chr4	10038854	10157898	161	0.01890256528065838
chr4	19436182	19555225	166	0.011967107495029033
chr4	21134855	21253899	167	0.005129064166642359
chr4	33759591	33878634	169	0.030497150393547383
chr4	86492826	86611870	180	0.0012035011972054124
chr4	90772430	90891473	183	0.00027402998177215827
chr4	179133307	179252351	188	0.0018897876143971746
chr4	181255436	181374479	189	2.2582202793650746e-05
chr4	182341744	182460787	190	0.00142549641234557
chr4	186702296	186821339	191	0.000265502905370182
chr5	131741067	131860110	217	0.11008011206630679
chr5	166069749	166188792	221	0.09246364781607556
chr6	1880244	1999288	226	8.04712799203298e-05
chr6	20908512	21027555	232	5.7452166984981755e-05
chr6	28448679	28567722	234	0.00013643952012765793
chr6	38340385	38459429	237	0.0001573836796125425
chr6	162272027	162391070	248	0.02313555344756711
chr6	167879139	167998182	249	0.015686480271023213
chr7	69979492	70098536	261	0.00724275518755162
chr7	78321863	78440907	262	0.0037469485742916784
chr7	101993198	102112242	267	0.0015511749306338148
chr7	110472421	110591466	269	0.0036700477924858197
chr7	127145101	127264145	271	0.002421967804265713
chr7	152068182	152187226	277	0.002546842592480746
chr7	158147100	158266143	278	0.002321381564108943
chr8	3790699	3909742	279	0.000648416097672775
chr8	6374957	6494001	280	0.010093969116843222
chr8	34981360	35100403	286	0.011162522010840373
chr8	37723231	37842274	289	0.0253628889636415
