chrom	start	end	name	score
chr1	5758281	6359521	1	0.000327381942685901
chr1	26780389	26989453	2	-0.0002928108979115827
chr1	114725108	115702047	3	0.00013915933818429345
chr1	93088471	93294034	4	6.184658976075357e-06
chr1	51217575	51336619	5	-8.769465013567166e-06
chr1	7856438	8493750	7	-0.00018302712753133024
chr1	14711802	15089994	13	-0.00048314144119891874
chr1	212599176	213761196	15	0.0009618085533731561
chr1	246237974	246357017	17	0.00024847371442919894
chr1	192981788	193166871	21	8.757367797076644e-05
chr1	157555762	158038113	23	0.0005253866693242016
chr1	210418225	210907811	27	0.000537329155625077
chr10	89965304	90084347	33	0.004273226727718877
chr10	89560990	89680033	34	0.001874454281246207
chr10	58218870	58714895	36	0.0021406726004993956
chr10	47184277	47650133	37	0.0018180768255063873
chr10	77918891	78043175	39	0.0021372466524467444
chr10	77295386	77414429	42	0.0018575615544451413
chr11	45931344	46402442	50	0.0012559600018419012
chr11	39985638	40635879	55	0.001008944419892933
chr11	113905768	114104249	57	0.0014118112436011109
chr11	62685002	63185231	58	0.0015848517227434094
chr11	80339167	80463952	60	0.001357187369308155
chr11	68133517	68341010	61	0.0013663341342239341
chr11	64602254	65066589	67	0.0011716252160958107
chr11	75846730	76992775	71	0.0009787620093253883
chr11	85972100	87096374	72	0.0012983425514367269
chr11	69896864	70147013	74	0.0011232726912882942
chr11	83964212	84366423	75	0.0012888617534068702
chr11	72023274	72313020	79	0.0011745431751632844
chr12	12722317	13120592	80	0.00405464800805171
chr12	26424358	26998323	83	0.0023875413674470498
chr12	24097405	24228750	85	0.0023390829970783788
chr12	45348202	45969805	94	-0.0007688631288971225
chr12	58096082	58747276	95	-0.0013909143131725851
chr12	74618787	75789025	98	-0.0011083563648938174
chr12	99864342	100151810	101	-0.0014725027649188736
chr12	52402269	53168356	103	-0.0010118726183999558
chr12	67138261	67494262	104	-0.0011461444755028504
chr13	48939729	49058772	108	0.007211041147749882
chr13	32621411	32950651	111	0.003495242849758588
chr13	50860815	51455790	114	0.004388088178208361
chr14	68742331	68861374	118	0.000788009500502584
chr14	33699932	33818975	124	0.000932950975144927
chr14	40295008	40722782	127	0.001170500193120285
chr14	67168861	67652025	132	0.0007725781771146218
chr14	27537653	29081983	134	0.001757376657261954
chr15	32159195	32278239	142	0.0002143374850610714
chr15	41285416	42451276	145	0.0005848439503429248
chr15	57326607	57557542	146	0.00032237537688430807
chr16	6690619	6809663	147	-0.0027083818865499907
chr16	23317721	24116798	149	-0.0025118085983473915
chr16	3723115	3842158	151	-0.0025379258971161165
chr16	78647303	78766346	155	0.004462745403302564
chr16	79003131	79122175	156	0.004423779805803958
chr16	72508842	72677340	159	0.004570830799732941
chr16	53432883	54385775	162	0.005629349754515986
chr16	83335710	83621823	163	0.0044569654641201445
chr17	7514447	7633490	164	-0.018924591215469036
chr17	11812452	11954002	165	-0.022160585520305504
chr17	39069342	39414905	168	0.0028731861275984524
chr17	42042144	42320075	170	0.0018418636976040874
chr17	55765392	56193649	175	0.0018246053602293598
chr17	44220411	44339454	177	0.0026082142127355117
chr17	58928804	59481230	179	0.001875457705751463
chr17	53330349	54068840	181	0.0017436325730300314
chr17	37461077	37780421	182	0.0023470593895386404
chr17	70365942	70514571	183	0.0023559690413170846
chr17	32188861	32931084	184	0.0038686771748103733
chr18	7209439	8629661	186	-0.0005529676094288699
chr18	3642355	4275605	187	-0.0013930087720074283
chr18	48538690	48667732	191	0.0023316812827677297
chr18	24556761	25643499	192	0.0027370071345376038
chr19	18878316	19376690	199	-0.0033980212348260065
chr19	34065789	34406265	206	0.0019462409654614728
chr19	47600563	47829029	207	0.004016628459148525
chr19	43206082	43735495	209	0.002020833261842243
chr2	43102216	43918289	213	0.0015319407198672594
chr2	141852754	141971797	220	0.0006147629831907257
chr2	213742720	213861867	224	0.0004976536485976163
chr2	133733042	133852085	226	0.0003483498201040325
chr2	233842479	234065299	227	0.0003530719504075891
chr2	136044235	136519191	232	0.0006178391735235614
chr2	186890810	187009853	233	0.0004946087729251131
chr2	206048504	206167548	234	0.0003072398292877811
chr2	148743553	149033199	235	0.0006878564207519017
chr2	187311700	187430743	236	0.0003422912031822221
chr2	213030115	213279155	238	0.0003072398292877811
chr20	14912725	15031768	242	0.008448623319780205
chr20	38766260	39467155	244	-0.0008166737440718513
chr20	53847353	54168429	245	-0.0017662869661679759
chr20	59256957	59983703	251	-0.0015594279547383055
chr20	45218930	46034672	253	-0.0013883998114002365
chr20	47640176	48144702	255	-0.0016477803447931285
chr21	36239813	36482914	258	-0.0005651795429551181
chr21	24076479	25427169	259	0.000457471300845241
chr22	29278052	29397095	262	0.0008038739072535743
chr22	33865202	34313677	263	0.0007339193988544451
chr22	25775753	25894796	265	0.000605689861312698
chr22	22852244	23313369	266	0.0007794161664321733
chr22	28478268	29020831	267	0.0008404848452446594
chr3	60412240	60531283	268	0.00015735365643972327
chr3	50335869	50878720	269	0.00035732797074307355
chr3	71264717	71383760	270	-0.00027426777419416664
chr3	4298031	4566842	276	-0.0005766462922359362
chr3	116547466	116666509	278	0.0010258716652688786
chr3	174774387	174893430	281	0.0009877624003222579
chr3	188166846	188285889	282	0.0006730811568282677
chr3	174352006	174471049	286	0.0003040944275193084
chr3	125469379	126976615	290	0.0011535748198208923
chr3	135952675	136450351	292	0.0007814714573796439
