chrom	start	end	name	score
chr1	5742084	5861127	1	0.0036139793847150803
chr1	8642934	8761977	3	0.010097613161184776
chr1	10500478	10619522	5	0.00047671104802143443
chr1	15229765	15348808	7	0.0008149703712922846
chr1	23748478	23867522	10	0.004262211995374315
chr1	27294191	27413234	12	0.003347145019315184
chr1	49644262	49763305	20	0.005459656085469215
chr1	72328478	72447522	23	0.00042755380833792606
chr1	111099850	111218894	27	0.00606650748962429
chr1	149188478	149307522	30	7.081955817760024e-05
chr1	152217515	152336558	33	0.00014191247318150364
chr1	152698760	152817804	34	0.00017727248721449937
chr1	158211419	158330462	39	0.0016170163583538737
chr1	161256478	161375522	42	0.00022725684292564338
chr1	164872590	164991633	46	0.000449870646353627
chr1	174447912	174566955	49	0.00017148922201196782
chr1	194331936	194450979	55	0.0006611613090314137
chr1	201683235	201802279	57	0.00012968926364833135
chr1	206493057	206612100	61	5.40776308724128e-05
chr1	225414560	225533603	63	0.00013827366344949536
chr1	228514337	228633380	66	0.0004501715688974628
chr1	235268478	235387522	68	0.0010923696647292167
chr1	236368478	236487522	69	2.817715981179426e-05
chr1	239960190	240079233	71	0.000665034900055115
chr1	241225752	241344795	72	0.00019377757501514432
chr1	246324759	246443802	74	0.0002776676692794969
chr10	47368407	47487450	571	0.0030011889516857143
chr10	50230572	50349615	573	0.000570868506623364
chr10	51636478	51755522	575	0.0002767353012988299
chr10	53156478	53275522	576	0.0004568198551291798
chr10	56380478	56499522	578	0.00018411333099065038
chr10	58675021	58794064	580	0.0020067149966555855
chr10	68270594	68389637	584	0.0005640543045951558
chr10	68971212	69090255	585	0.0003562528286025842
chr10	76011836	76130879	588	0.0015653021152243751
chr10	78008478	78127522	591	0.0010795902906043041
chr10	80185760	80304803	593	0.00039509059211423336
chr10	89834203	89953246	596	0.04025817817631911
chr10	111177571	111296614	598	0.0005403313432198823
chr11	2733240	2852283	604	0.00015657523421593834
chr11	5540478	5659522	606	0.00035487061011850186
chr11	9904478	10023522	607	0.0003432851210429773
chr11	38609512	38728555	612	0.001456868657892922
chr11	45758426	45877469	614	0.0033730936865688167
chr11	60576478	60695522	616	0.0011486863445932132
chr11	62927250	63046293	619	0.0009920261145220952
chr11	64097437	64216481	621	0.00045011715990422006
chr11	65762046	65881089	623	1.3750296543148737e-06
chr11	70746148	70865191	631	0.0005595188072364218
chr11	71621977	71741020	633	0.002238600270635168
chr11	74427239	74546283	636	4.4511975925302696e-05
chr11	76327656	76446699	638	0.00029894328764128116
