chrom	start	end	name	score
chr1	150571678	150741615	16	0.0224143256349491
chr1	151549752	151797157	1	0.009036238729990525
chr1	153540304	153734176	28	0.001508372086233833
chr1	154839176	155157122	20	0.003486809152785149
chr1	155736873	156034001	9	0.01950268184436479
chr1	160914013	161088587	8	0.009975881003160983
chr1	171732923	172364467	19	0.0023774230124374517
chr1	201938893	202057937	22	0.0025344519175849413
chr1	204393519	204512562	4	0.017204061649511028
chr1	234903837	235022881	10	0.005982243129647518
chr10	5019540	5275655	240	0.005685327130918423
chr10	8854729	9324669	249	0.00897606632521057
chr10	11675709	12164521	255	0.002981773124356288
chr10	32162300	32813035	247	0.004412441224197262
chr10	47408334	47827719	253	0.0010522022027463812
chr10	54960117	56167514	248	0.0004972580095693778
chr10	61702484	61821527	250	0.0002030624536593053
chr10	63080956	63794123	242	0.002094967507220925
chr10	65364015	65713333	256	0.00044546244329148223
chr10	76654523	76935967	245	0.0036676230594882737
chr10	77060107	77208323	258	0.00044512697263678346
chr10	79624190	79947792	257	0.002539393105201722
chr10	83068024	84207260	252	0.0011536420123287327
chr10	126144907	126666595	254	0.00060168550789987
chr11	61916375	62341111	272	0.001755496149515799
chr11	65228434	65347477	275	0.0009421895619688151
chr11	66919618	67140796	286	0.0031093033133536034
chr11	69434720	69553763	285	0.002092248726953228
chr11	70165110	70284154	276	0.001403233691515229
chr11	70971824	71178480	282	0.0003798838440698729
chr11	72854062	73181590	288	0.0010152608372718352
chr11	73901947	74555388	270	0.0008232781009651044
chr11	77540996	77660040	259	0.0031656203101712984
chr11	81822736	82785608	268	0.0010135057266517573
chr11	88179066	88819047	267	0.0002106834926789506
chr11	91183729	91578517	277	0.0004343134567646013
chr11	100071333	100456683	262	0.0004625835444972675
chr11	102318256	102445858	271	0.001069286893333635
chr12	750855	984603	315	0.0041407215136721335
chr12	4005735	4630644	295	0.0021046612173743966
chr12	6495089	6729835	312	0.002853472389534071
chr12	19777246	20304059	293	0.005481878351210899
chr12	25088072	25291758	291	0.009651549813343818
chr12	26308757	26427801	311	0.0016047300555288972
chr12	27312183	27724555	300	0.003616317753538256
chr13	27726123	28583697	323	0.0010886867357888517
chr13	30777977	31270349	319	0.001143293211146704
chr13	54542287	55760400	325	5.9197474138605706e-05
chr13	71624228	72471666	326	0.00048255183226585596
chr13	73860342	73979385	320	0.00046221950020947745
chr13	106659219	107933285	322	0.0010136984825552871
chr16	1995842	2383828	368	0.010198602681156474
chr16	4202082	4345377	373	5.029535768201887e-05
chr16	11731483	11869700	359	0.014131627235424835
chr16	18839445	19602747	369	0.007388761039253965
chr16	29044352	29740329	362	0.007454051034027869
chr17	31063757	31344450	384	0.0037848656610735953
chr17	36040114	36220312	388	0.00021291547239068664
chr17	37814919	37933962	375	0.028392762094789435
chr17	46328894	46556435	383	0.00804852453736812
chr17	48593060	48789511	386	0.00607820304919552
chr17	50404258	50789048	377	0.00333032359923087
chr17	60648695	61741852	382	0.006743196216230416
chr17	67196640	67890043	374	0.0059716591086264766
chr17	73467763	73586807	381	0.009396919580598429
chr17	77734233	78056848	390	0.0034653165051320056
chr18	3374767	3499942	396	0.035546515370242976
chr18	9476695	10938627	406	0.005488589628306195
chr19	33519365	33816790	410	0.01788259520472438
chr19	35468671	35852015	417	0.0072088658133137185
chr19	37789605	38291932	408	0.015996617035151442
chr19	39664941	39859916	411	0.021205954466781883
chr19	45197410	45316453	412	0.00692027796737992
chr2	4939908	5248723	51	0.015329566286546664
chr2	28760823	28879866	44	0.006402399465546348
chr2	43133499	43364389	48	0.0014033079985526422
chr2	56719500	57272851	55	0.0007746006526753487
chr2	61280524	61940385	31	0.004833185331141675
chr2	67058791	67247154	50	0.00675958081982571
chr2	85161928	85620345	39	0.006527611628428019
chr2	103076527	103501295	38	0.00010848860162184999
chr2	114022993	114142037	35	0.002259082735923245
chr2	116118599	116503797	32	0.0016652633654243383
chr2	117826949	118320719	60	0.0002473501136901743
chr2	123203267	124277151	42	0.000509628749093875
chr2	136759228	137287763	59	0.0002522896034830653
chr2	140652913	141053948	53	0.00041101030642701344
chr2	159524119	159891349	40	0.0006186891692979872
chr2	177598943	178479541	33	0.0006660396213984962
chr2	191054682	191532321	30	0.0009735420527669375
chr2	195089370	195978143	41	0.0005244642174521884
chr2	204258457	204874921	57	0.000560357744896062
chr20	34059289	34178332	424	0.01262861725066259
chr20	42716839	43707813	427	0.006400744468614957
chr20	45958505	46077548	428	0.004878827007693848
chr20	48654362	48886540	425	0.004436698359754612
chr20	52134620	52253663	434	0.020660028730513876
chr20	55535014	56580230	430	0.0014913701584049824
chr20	58845327	59850940	432	0.002359607989550387
chr20	60877594	60996638	423	0.001617312597783314
chr21	27563981	29211589	438	0.0008942137427182418
chr21	34741048	34860091	435	3.370991190206743e-06
chr3	100992050	102444535	84	0.00027216481626106675
chr3	107631968	107751012	78	0.001369879510729999
chr3	109621291	110836404	86	0.0017144639666548157
chr3	115149776	115973138	88	0.006682021116563399
chr3	148787016	149621348	73	0.006139875792818715
chr3	166020407	166603769	72	0.010184854865741864
chr3	168683826	168802869	64	0.01133847382438398
chr3	169548446	169667490	74	0.027222345943587797
chr3	172180285	172299328	61	0.021140175282780584
chr3	174118798	174294887	81	0.006967078619972433
chr3	177069806	177414593	77	0.013209324749535886
chr3	181273593	181928556	65	0.0034467664240998464
chr3	188750796	188971833	87	0.0033774591603004454
chr3	189510959	189838502	90	0.002590312439532118
chr5	1097591	1216634	130	0.010300417894531478
chr5	8000468	8453144	143	0.004256941952023972
chr5	14069792	14427201	141	0.0022240963983409688
chr5	16399158	16808360	145	0.004889663408436091
chr5	21982188	23108941	121	0.0135386584808737
chr5	28006389	29170593	140	0.005558865285712181
chr5	31575341	32519706	144	0.003934164783515494
chr5	35617488	37520080	146	0.01954488994526139
chr5	36156861	36428160	129	0.01547715869970246
chr6	6735404	7149435	152	0.0033344026102871058
chr6	11334694	11453737	161	0.005207073795510404
chr6	13296309	13509238	171	0.0009584848825273974
chr6	18454897	18629310	166	0.005323362308871536
chr6	19696050	20334112	149	0.003274892846665462
chr6	21224485	21809939	169	0.001512175283322962
chr6	30575191	30767427	158	0.00199477537576781
chr6	31574113	31812353	168	0.0024906509749372716
chr6	37249162	37561073	165	0.003278139742464571
chr6	41795451	42143170	163	0.004945110323542428
chr6	43759391	43878435	148	0.006068546436026018
chr6	46842097	47120916	159	0.003040213410970669
chr6	52865648	53568818	151	0.0039110171983572865
chr7	14750037	15328719	179	0.00448960528011487
chr7	17290994	17646860	188	0.002194973550014095
chr7	47722727	47920673	189	0.0020052980323438134
chr7	53425271	53544315	178	0.0008005591073557708
chr7	67621038	68627757	181	0.00013515208827234143
chr7	91452043	92249833	173	4.64795506414332e-05
chr7	98511675	99454048	177	8.463607443737949e-05
chr7	104401998	104715478	191	2.119709969788535e-05
chr7	116330970	116513212	190	3.0996813392168154e-05
chr7	144215742	144437137	187	2.0691985756034365e-05
chr8	55246390	55365434	207	0.02679765704033387
chr8	68482580	70228198	208	0.010153078236532621
chr8	101295688	101441274	205	0.0063442783026192665
chr8	107039717	107542826	212	0.006765354376232122
chr8	113390563	114733784	198	0.015604349932949704
chr8	128331565	128450608	206	0.004216849023848793
chr8	128745510	128864553	196	0.10883881038191887
chr8	129537965	129657008	211	0.020342698147741027
chr8	142040174	142159217	202	0.005241900962804468
chr9	3690545	3997914	231	0.006366793563466245
chr9	6395784	7050834	236	0.0008876967191317791
chr9	8556540	9321421	226	0.0017446074884452582
chr9	12739602	13013795	232	0.0025518850647298684
chr9	13905864	14163508	219	0.0015739022228796469
chr9	14759759	15327140	235	0.000326087483052251
chr9	19284053	19661201	215	0.002447870764755664
chr9	20775704	20994896	233	0.0024502103245996327
chr9	25466493	25786522	237	0.0030891535552978484
chr9	27851453	28025192	218	0.000786213996747343
chr9	30245128	30517232	221	0.0035217095300449862
chr9	31791759	32053678	227	0.000516362127880065
chr9	33949653	34121482	220	0.0034883883656547914
chr9	35692546	35811590	214	0.003942580617127746
