chrom	start	end	name	score
chr1	2160133	2241558	ENSG00000157933	0.11876169095372505
chr1	2487077	2496821	ENSG00000157873	0.11876169095372505
chr1	2985731	3355185	ENSG00000142611	0.1508318178141412
chr1	6241328	6269449	ENSG00000116251	0.1726290782000391
chr1	6845383	7829766	ENSG00000171735	0.17131958754799095
chr1	11166591	11322564	ENSG00000198793	0.141902663826425
chr1	14026692	14151574	ENSG00000116731	0.13857878227467646
chr1	15817326	15853029	ENSG00000132906	0.14814981651945536
chr1	16174358	16266955	ENSG00000065526	0.14841364982476657
chr1	17345216	17380665	ENSG00000117118	0.15249560121092307
chr1	17866329	18024369	ENSG00000074964	0.15249560121092307
chr1	18957499	19075360	ENSG00000009709	0.1511097395928887
chr1	23884408	23886285	ENSG00000117318	0.15835211641920494
chr1	23907984	23967058	ENSG00000197880	0.1583521164192049
chr1	27022523	27108595	ENSG00000117713	0.1714532804667953
chr1	32716839	32751766	ENSG00000182866	0.15139956163095916
chr1	35641978	35658749	ENSG00000116560	0.1356169794278824
chr1	36690016	36770958	ENSG00000054118	0.13977534480774673
chr1	36931643	36948879	ENSG00000119535	0.13977534480774673
chr1	40361097	40367928	ENSG00000116990	0.13683638583410854
chr1	43803477	43818443	ENSG00000117400	0.08208757957483297
chr1	45794834	45806142	ENSG00000132781	0.12310706445498867
chr1	47681961	47697892	ENSG00000162367	0.12833221025824806
chr1	47715810	47779819	ENSG00000123473	0.12833221025824806
chr1	51426416	51440305	ENSG00000123080	0.11062105657340701
chr1	51819934	51985000	ENSG00000085832	0.11062105657340701
chr1	59246464	59249785	ENSG00000177606	0.10679131021368941
chr1	65298911	65432187	ENSG00000162434	0.14459296922471426
chr1	78409739	78444794	ENSG00000162613	0.14731051698222591
chr1	85731930	85742773	ENSG00000142867	0.16069830685525782
chr1	93297581	93307481	ENSG00000122406	0.16385775434279434
chr1	110881127	110889299	ENSG00000162775	0.16030679366080577
chr1	114935398	115053781	ENSG00000197323	0.1504493093322248
chr1	115247089	115259515	ENSG00000213281	0.14950367954226373
chr1	116915289	116952883	ENSG00000163399	0.1342219960736542
chr1	120454175	120612240	ENSG00000134250	0.12225492611866344
chr10	43572474	43625799	ENSG00000165731	0.049548268646267914
chr10	51565107	51590734	ENSG00000138293	0.058609276982692526
chr10	52559168	52645435	ENSG00000148584	0.08499190877827502
chr10	61548520	61666414	ENSG00000108091	0.06452919773110431
chr10	70320412	70454239	ENSG00000138336	0.06784700879063792
chr10	72357103	72362531	ENSG00000180644	0.0619524677042495
chr10	76585339	76792380	ENSG00000156650	0.05692942773444663
chr10	81462982	81474437	ENSG00000188199	0.07369888539333755
chr10	88516406	88692595	ENSG00000107779	0.08544723838363334
chr10	89117424	89130452	ENSG00000214562	0.08544723838363334
chr10	89622869	89731687	ENSG00000171862	0.08660841329435412
chr10	90750413	90775542	ENSG00000026103	0.08317068790539911
chr10	93806448	94050844	ENSG00000107864	0.07950792283078646
chr10	96796529	96829254	ENSG00000138115	0.07638085661773064
chr10	102889256	102897545	ENSG00000107807	0.07861465043532054
chr10	104153866	104162281	ENSG00000077150	0.08062201707521832
chr10	104263743	104393292	ENSG00000107882	0.08062201707521832
chr10	104845939	104953056	ENSG00000076685	0.07790926103955775
chr10	114206755	114578503	ENSG00000151532	0.06373246402960883
chr10	114710008	114927437	ENSG00000148737	0.05903748674603487
chr10	123237847	123357972	ENSG00000066468	0.06975373419368253
chr10	131265447	131566271	ENSG00000170430	0.06482270510392421
chr11	532241	537287	ENSG00000174775	0.047635555310837276
chr11	3022151	3078843	ENSG00000110619	0.05081200277629801
chr11	3692312	3819022	ENSG00000110713	0.05081200277629801
chr11	8245850	8290263	ENSG00000166407	0.07078867729262173
chr11	17741114	17743678	ENSG00000129152	0.06171076087943407
chr11	22644078	22647387	ENSG00000183161	0.050542231320858375
chr11	32409320	32457176	ENSG00000184937	0.049619235274976484
chr11	33880121	33913836	ENSG00000135363	0.04930202904827695
chr11	44117098	44266979	ENSG00000151348	0.03993276386998893
chr11	46299211	46342972	ENSG00000157613	0.042451047632108906
chr11	47236492	47260767	ENSG00000134574	0.01941311288902995
chr11	64570981	64578766	ENSG00000133895	0.0016069586825894961
chr12	6679248	6716642	ENSG00000111642	0.0016963448854322495
chr12	6775642	6798738	ENSG00000126746	0.0016963448854322495
chr12	7055630	7070479	ENSG00000111679	0.012352446020699636
chr12	11802787	12048336	ENSG00000139083	0.04802292841162225
chr12	12867991	12875305	ENSG00000111276	0.04869986197997445
chr12	46123447	46301823	ENSG00000189079	0.08820505565199742
chr12	48366747	48398269	ENSG00000139219	0.09483447541408177
chr12	49412757	49453557	ENSG00000167548	0.08738483626320255
chr12	49962000	50038449	ENSG00000110844	0.09875007764126373
chr12	50478754	50494495	ENSG00000066117	0.09875007764126373
chr12	51157492	51214905	ENSG00000123268	0.09249822007112465
chr12	52345450	52390862	ENSG00000135503	0.09819553899270203
chr12	54332534	54340328	ENSG00000123364	0.10310249278761993
chr12	54366909	54371427	ENSG00000123388	0.10310249278761993
chr12	56473640	56497289	ENSG00000065361	0.1281508587720956
chr12	92536285	92539673	ENSG00000133639	0.07606181443943402
chr12	95910335	95945266	ENSG00000136014	0.03471282064995633
chr12	104849072	105155792	ENSG00000171310	0.03667808445653729
chr12	111843751	111889427	ENSG00000111252	0.03335728168140118
chr12	112204690	112247782	ENSG00000111275	0.03335728168140118
chr12	112856154	112947717	ENSG00000179295	0.035939462400073334
chr13	20532809	20665968	ENSG00000121741	0.08399598093466701
chr13	21547170	21635686	ENSG00000150457	0.08535851903898908
chr13	28536273	28545276	ENSG00000165556	0.07642808794022786
chr13	28577410	28674729	ENSG00000122025	0.07642808794022786
chr13	32889610	32973805	ENSG00000139618	0.08170519584570665
chr13	35516423	36247159	ENSG00000172915	0.08015946304163303
chr13	41129803	41240734	ENSG00000150907	0.08538956036741208
chr13	46700054	46786006	ENSG00000136167	0.09280113369338419
chr13	48877886	49056122	ENSG00000139687	0.09337923146635106
chr13	49280950	49283498	ENSG00000152207	0.0934990746764116
chr13	92050928	93519490	ENSG00000179399	0.06104409442797084
chr13	95361885	95364389	ENSG00000125285	0.06671470426174897
chr13	103497193	103528345	ENSG00000134899	0.06624155180242366
chr14	51186480	51297839	ENSG00000100503	1.312900854000959e-05
chr14	65472891	65569413	ENSG00000125952	0.045287530274292956
chr14	66974124	67648520	ENSG00000171723	0.03919536706033015
chr14	68286495	69196935	ENSG00000182185	0.04863051169895792
chr14	81421332	81612646	ENSG00000165409	0.037051380182113444
chr15	34635515	34649938	ENSG00000184507	0.10434289227296552
chr15	40453223	40513337	ENSG00000156970	0.10759274138402304
chr15	40674921	40686447	ENSG00000128944	0.12041383237884425
chr15	45003674	45011075	ENSG00000166710	0.11832189476813557
chr15	50716576	50793280	ENSG00000138592	0.10463154900609337
chr15	52599479	52821247	ENSG00000197535	0.10636433192451578
chr15	55700745	55710962	ENSG00000261652	0.11606928586358431
chr15	57210820	57591479	ENSG00000140262	0.11496871383942164
chr15	66679154	66784650	ENSG00000169032	0.08612462414137148
chr15	67356100	67487533	ENSG00000166949	0.08595913288331243
chr15	74287013	74340153	ENSG00000140464	0.0812496346434141
chr15	88418229	88799999	ENSG00000140538	0.08037404690703089
chr15	89859533	89878092	ENSG00000140521	0.07627209603249169
chr15	90626276	90645736	ENSG00000182054	0.07716526255938473
chr15	91073156	91188577	ENSG00000140577	0.07716526255938473
chr15	91260557	91358859	ENSG00000197299	0.07716526255938473
chr15	91426924	91439006	ENSG00000182511	0.07716526255938473
chr15	93426525	93571237	ENSG00000173575	0.08760918412480409
chr16	50775960	50835846	ENSG00000083799	0.022908610075872034
chr16	56965959	56977798	ENSG00000051108	0.029166974575980397
chr16	64977655	65160015	ENSG00000140937	0.04452172617887978
chr16	67063018	67134961	ENSG00000067955	0.016432758170318786
chr16	67596309	67673086	ENSG00000102974	0.014861597254092746
chr16	68771127	68869451	ENSG00000039068	0.05360895797699809
chr16	72816783	73093597	ENSG00000140836	0.07871623083118202
chr16	74655291	74700779	ENSG00000168411	0.06881211507114764
chr16	79619739	79634611	ENSG00000178573	0.06961075798427356
chr16	88941265	89043612	ENSG00000129993	0.07277288563988338
chr16	89803956	89883065	ENSG00000187741	0.06992598020206767
chr17	1247565	1303672	ENSG00000108953	0.17023338919017514
chr17	5019732	5078329	ENSG00000129204	0.16779430786227229
chr17	5185557	5289129	ENSG00000029725	0.16779430786227229
chr17	7387684	7417933	ENSG00000181222	0.18316158942617536
chr17	7565096	7590856	ENSG00000141510	0.18366303461223216
chr17	8043789	8059824	ENSG00000179094	0.18366303461223216
chr17	9813925	10101868	ENSG00000007237	0.18098115300853806
chr17	11924140	12047147	ENSG00000065559	0.19972892152069135
chr17	15932470	16121499	ENSG00000141027	0.20263680308869586
chr17	17115525	17140502	ENSG00000154803	0.11250552767866236
chr17	19912656	20222339	ENSG00000128487	0.11700270293710668
chr18	22641889	22932154	ENSG00000198795	0.08925506830215517
chr18	23596577	23671181	ENSG00000141380	0.12697084128692174
chr18	42260137	42648475	ENSG00000152217	0.2304843619685799
chr18	45357921	45457515	ENSG00000175387	0.2102229850282221
