chrom	start	end	name	score
chr1	150599202	150769139	16	0.03691445152150896
chr10	8812766	9282706	249	0.03441537964773896
chr10	11633710	12122522	255	0.006739295544008512
chr12	19624312	20151125	293	0.03683352917006856
chr12	59754080	60092039	298	0.05223485493388879
chr16	11637627	11775844	359	0.08343848659152556
chr16	52265164	52702418	364	0.08655713232868485
chr16	77887628	78006671	366	0.0007679048044379014
chr16	79217842	79336885	363	0.0007679048044379014
chr17	39658666	39777709	375	0.0593552830264377
chr17	52326898	52711688	377	0.09475712331210846
chr17	62571334	63664492	382	0.034221582836952265
chr19	33028459	33325884	410	0.0006726006076191012
chr19	34977767	35361113	417	7.175619785596491e-05
chr19	37298703	37801292	408	0.0001239135213423002
chr19	39174301	39369276	411	0.00013208638338950025
chr2	115361023	115746221	32	0.006480615813304511
chr2	122445691	123519575	42	0.02105238554689034
chr2	139895344	140296379	53	0.01043329634099992
chr2	176734215	177614813	33	0.0042092228248920074
chr2	190189956	190667595	30	0.01212264240311852
chr2	194224646	195113419	41	0.013019432227908122
chr20	10885934	11882474	426	0.06229615123779241
chr20	53518081	53637124	434	0.08737120763683826
chr3	101273206	102725691	84	0.008256884394568014
chr3	107913121	108032165	78	0.014236211501112126
chr3	115430929	116254291	88	0.03155752783958596
chr5	14069683	14427092	141	0.011061073707238718
chr5	21982079	23108832	121	0.012759525126726023
chr5	28006282	29170486	140	0.013045464217755322
chr5	35617386	37519978	146	0.004067885981931307
chr5	36156759	36428058	129	0.003987187133629607
chr5	127745205	127943299	142	0.00019892134760100035
chr5	138220444	138824105	123	0.00042449809630960074
chr5	149551455	149680855	131	0.00011868086349820021
chr5	165806843	166172416	124	0.0010221150876589017
chr6	30607414	30799650	158	0.001664675231317803
chr6	41827713	42175432	163	0.0046675636810541085
chr6	43791654	43910698	148	0.0051294990252086095
chr6	46874360	47153180	159	0.0051927609580568095
chr6	53000850	53704020	151	0.005062737945792109
chr7	98914052	99856425	177	0.04649664375972528
chr7	116690916	116873158	190	0.03391884401896146
chr7	144518649	144740044	187	0.05214306081851959
