chrom	start	end	name	score
chr1	150599202	150769139	16	0.020746374339301706
chr1	151577276	151824681	1	0.00784451484909644
chr1	153567828	153761700	28	0.00784451484909644
chr1	154866700	155184646	20	0.0006808662245765035
chr1	160944223	161118797	8	0.003351509948989417
chr1	171763783	172395327	19	0.0014694476792798076
chr10	4977348	5233692	240	0.0002349875407976012
chr10	8812766	9282706	249	6.503933122305902e-05
chr10	11633710	12122522	255	5.156143697341271e-05
chr10	31873372	32524107	247	3.4026297261885215e-05
chr11	13492322	14226122	278	0.000597172492354303
chr11	32047389	32515735	281	0.0005869301787499031
chr11	34650848	34769892	263	0.00033675113072820174
chr11	40075295	41065335	269	0.0013933405171968072
chr11	46271747	46622389	274	0.0001179393656420006
chr12	641689	875437	315	0.0008097819924169042
chr12	3896569	4521478	295	0.00408000504914242
chr12	6385923	6620669	312	0.0005130961867744026
chr12	19624312	20151125	293	0.0030177002762442158
chr12	24935138	25138824	291	0.0004346438521951022
chr12	26155824	26274868	311	0.001554216582466708
chr12	27159250	27571622	300	0.0004193244661482022
chr13	27151986	28009560	323	0.06503580604953733
chr13	30203840	30696212	319	0.023081871664609118
chr13	53968152	55186265	325	0.004937655898026425
chr13	71050096	71897528	326	0.024376203182492825
chr13	73286205	73405248	320	0.027674307172460343
chr13	106006870	107280937	322	0.004658530832100123
chr16	4152081	4295376	373	0.0009036884521234046
chr16	11637627	11775844	359	0.003777505959215319
chr16	18828123	19591425	369	0.000991169383246805
chr16	29033031	29729008	362	0.0014510118906714074
chr16	52265164	52702418	364	0.003721722533803719
chr16	77887628	78006671	366	3.855887450078043e-06
chr16	79217842	79336885	363	3.855887450078043e-06
chr17	32736739	33017432	384	0.002514184179186513
chr17	37680110	37860694	388	0.0012640012921874065
chr17	39658666	39777709	375	0.04996066142333336
chr17	48251532	48479073	383	0.004691933199846024
chr17	50515699	50712150	386	0.005631053924459029
chr17	52326898	52711688	377	0.005831370603160829
chr17	62571334	63664492	382	0.008834616600139546
chr17	69200499	69893902	374	0.00586741966245113
chr17	75471682	75590726	381	0.0004888249939810024
chr17	79760434	80083049	390	0.0015381574675973077
chr19	33028459	33325884	410	0.0028817357064201145
chr19	34977767	35361113	417	0.0014667603849484077
chr19	37298703	37801292	408	0.002111451204579311
chr19	39174301	39369276	411	0.0016152382928428083
chr2	4892318	5108590	51	0.0017093290510453087
chr2	66831659	67020022	50	0.0002736994664717014
chr2	102460067	102884836	38	0.0009149457289610046
chr2	115361023	115746221	32	0.0007666058996179039
chr2	117069373	117563143	60	0.0005811268373544029
chr2	190189956	190667595	30	0.0008127195809779041
chr2	194224646	195113419	41	0.000775560809998704
chr2	203393734	204010198	57	0.00022432812132750114
chr20	35471464	35590410	424	0.03755549329686069
chr20	44088199	45079172	427	0.08698293736665995
chr20	47329761	47448804	428	0.033565422864410575
chr20	50037825	50270003	425	0.03587622486523908
chr20	53518081	53637124	434	0.04127646186802441
chr20	56959958	58005174	430	0.008853318308222346
chr20	60270269	61275884	432	0.010674668929475955
chr3	101273206	102725691	84	0.002701821511923614
chr3	109902444	111117557	86	0.001341306743774707
chr3	172462495	172581538	61	0.004567283054731823
chr3	177352018	177696805	77	0.0015935796944801083
chr3	189033007	189254044	87	0.0016486708070817084
chr3	189793170	190120713	90	0.003143903915788216
chr5	1097476	1216519	130	0.0007203401553234036
chr5	8000355	8453031	143	0.0007203401553234036
chr5	14069683	14427092	141	9.056318468007918e-05
chr5	16399049	16808251	145	0.0007203401553234036
chr5	21982079	23108832	121	0.0007203401553234036
chr5	28006282	29170486	140	0.002583355406258113
chr5	35617386	37519978	146	0.00969431926849025
chr5	36156759	36428058	129	0.0057907561975298295
chr6	6735171	7149202	152	0.00029493669861030154
chr6	11334461	11453504	161	0.00036403821375940185
chr6	13296077	13509006	171	0.00013269286371380069
chr6	18454666	18629079	166	0.001786092317922409
chr6	19695819	20333881	149	0.0016230034419288083
chr6	21224254	21809708	169	0.0002972454442993015
chr6	30607414	30799650	158	0.0012114278887445063
chr6	31606336	31844576	168	0.000568782338902803
chr6	41827713	42175432	163	0.003747802884699719
chr6	43791654	43910698	148	0.004632517332674523
chr6	46874360	47153180	159	0.0034424760253963177
chr6	53000850	53704020	151	0.0020295870865077105
chr7	17251370	17607236	188	0.029873460332158354
chr7	53357578	53476622	178	0.0387568786553823
chr8	54333830	54452874	207	0.027744030087310842
chr8	67570345	69315963	208	0.02396453134481222
chr8	100283460	100429046	205	0.032031269604490265
chr8	106027489	106530598	212	0.024178648142518324
chr8	112378334	113721555	198	0.013579483909121169
chr8	127319320	127438363	206	0.007308837317220437
chr8	127733264	127852307	196	0.12669903299609783
chr8	128525719	128644762	211	0.03136335399241396
chr8	141030075	141149118	202	0.0028688839887508148
chr9	3690545	3997914	231	0.0007583081206787039
chr9	8556540	9321421	226	0.0011117606334780056
chr9	12739603	13013796	232	0.0038004672838416196
chr9	13905865	14163509	219	0.00034415983423410174
chr9	19284055	19661203	215	0.0016236176203128082
chr9	20775705	20994897	233	0.0009127336388490046
chr9	25466495	25786524	237	0.001365407085108507
chr9	33949655	34121484	220	0.0005437080732194028
chr9	35692549	35811593	214	0.0026627230871870133
