chrom	start	end	name	score
chr1	6103062	6344246	TSG3	130.86946716876733
chr1	8177219	8412650	TSG22	49.055734240603385
chr1	10648504	10789504	TSG44	10.537325339888364
chr1	15003239	15144239	TSG31	22.5508287697273
chr1	27092661	27233661	TSG2	167.62428145940248
chr1	49411670	49552670	TSG39	15.063909004391991
chr1	51209384	51350384	TSG12	47.90344397881376
chr1	72226753	72367753	TSG24	23.937622870323075
chr1	93179603	93320603	TSG7	34.97934036134313
chr1	115146245	115656090	TSG4	59.82647400538921
chr1	149166119	149307119	TSG23	23.253453784166656
chr1	157615410	157827028	TSG20	31.32950810349632
chr1	169521470	169720954	TSG43	9.719671802898455
chr1	189316818	189457818	TSG28	22.55580616871903
chr1	193039084	193180084	TSG13	39.05115328531292
chr1	241632200	241914244	TSG21	34.59135516774919
chr1	246195942	246336942	TSG8	72.98885353769869
chr10	20304881	20445881	TSG411	9.837268858521965
chr10	22272244	22608102	TSG400	11.910343883636385
chr10	24387128	25159609	TSG392	21.115877110964224
chr10	47488781	47712143	TSG386	88.961481258145
chr10	53137827	53278827	TSG402	13.499366614788022
chr10	56366293	56761157	TSG405	15.135475496555674
chr10	58570059	58846397	TSG385	42.7743333935685
chr10	65212660	65353660	TSG407	13.031846413040965
chr10	68779243	68937762	TSG394	24.084713508848964
chr10	76006183	76147183	TSG399	22.60131555149836
chr10	77397676	77538676	TSG388	42.79020482058272
chr10	77966641	78107641	TSG398	26.411995129598804
chr10	89752254	89893254	TSG381	313.31188160271864
chr10	90021649	90162649	TSG397	81.6694771108885
chr10	112717541	112900400	TSG409	9.77491649715008
chr10	114392960	114533960	TSG413	10.698069784173285
chr11	40375984	40854382	TSG428	34.28239904298184
chr11	45952507	46384023	TSG421	53.98940310328662
chr11	63713979	64270409	TSG418	90.8236830135844
chr11	65275065	65534356	TSG449	38.38952873060948
chr11	68167088	68308088	TSG425	62.63650865068794
chr11	69905231	70111438	TSG452	49.97994994564633
chr11	71053255	71254426	TSG454	95.9231669170072
chr11	76091488	76696619	TSG436	62.23942599144512
chr11	78693986	78984185	TSG431	30.168780503503207
chr11	80369689	80510689	TSG422	88.8121192386311
chr11	80915432	81056432	TSG434	25.71206316870672
chr11	81952497	82137223	TSG447	17.96394324927324
chr11	83777984	83950191	TSG445	29.29468224685346
chr11	84548708	84689708	TSG427	46.648655175546864
chr11	85563809	85876956	TSG446	26.958660680931438
chr11	99396579	100009357	TSG448	6.556655432140827
chr11	114046103	114261662	TSG417	34.47857100470732
chr12	1264702	1502194	TSG487	12.9543571004733
chr12	12680830	12821830	TSG480	18.640292515370987
chr12	13351897	13508716	TSG459	167.7811024381819
chr12	24052860	24193860	TSG468	35.85309357685716
chr12	25846676	26148420	TSG462	62.45896952551824
