chrom	start	end	name	score
chr1	23421985	23541031	10	0.015192190946503422
chr1	26967700	27086743	12	0.024284201838310735
chr1	164903353	165022396	46	0.02112909035285873
chr1	201714107	201833151	57	3.674744385518747e-05
chr1	228326636	228445679	66	2.2468634595203235e-05
chr1	235105163	235224207	68	0.013334537313271218
chr10	12538531	12657574	564	0.07682169940052962
chr10	88074446	88193489	596	0.14990969032169602
chr11	65994575	66113618	623	0.02794072679853654
chr11	68576687	68695730	626	0.025202619870460633
chr11	74716194	74835238	636	0.005243044995452208
chr11	76616612	76735655	638	0.02556498149963784
chr11	114476231	114595275	659	0.04140744679716606
chr11	114699223	114818266	660	0.008692354630800913
chr15	57094084	57213128	782	0.07467813713826
chr2	43299785	43418828	90	0.07952293098568511
chr2	45777339	45896383	92	0.006309189709714808
chr2	54829341	54948385	94	0.0002662084505905004
chr2	212590607	212709650	148	0.00045246426135590065
chr2	212852714	212971757	149	0.007870109076384113
chr2	224335761	224454805	153	0.04221517479763896
chr2	235731834	235850878	156	0.005327212864625508
chr22	33676492	33795535	945	0.15086614940460163
chr3	47945003	48064047	171	0.009258652567222313
chr3	49693066	49812109	172	0.0669633132444999
chr3	60409369	60528412	178	0.0043860746645729065
chr3	61718804	61837848	180	0.030018943863919043
chr6	167869474	167988518	405	0.07675132819609341
chr9	11656478	11775522	528	0.0016327442030405024
chr9	14069124	14188167	530	0.0007935075418390012
chr9	17198332	17317375	533	4.3136427480828484e-06
chr9	21920479	22039523	536	0.001560993102669002
chr9	28712036	28831079	539	0.0022730182134242036
chr9	30316480	30435524	541	0.0022730182134242036
chr9	31884480	32003524	544	0.0017947150140166027
