chrom	start	end	name	score
chr1	204424391	204543434	4	0.07046045963273596
chr10	4977348	5233692	240	0.004247680866027322
chr10	8812766	9282706	249	0.0016542075690823084
chr10	11633710	12122522	255	0.0003239305744492017
chr10	31873372	32524107	247	0.0012981350842634068
chr11	13492322	14226122	278	0.001558239141418808
chr11	32047389	32515735	281	0.0014523085213820075
chr11	34650848	34769892	263	0.0027667117471670143
chr11	40075295	41065335	269	0.007271459281927938
chr11	46271747	46622389	274	0.0026330022533609136
chr11	62148903	62573639	272	5.707406552058031e-05
chr11	67152147	67373325	286	0.0024285740468430127
chr11	69619952	69738995	285	0.0009344832954420048
chr11	70319004	70438048	276	0.0008030304077831041
chr11	71260778	71467434	282	0.00018405017236940095
chr11	74190902	74844343	270	0.00018405017236940095
chr11	77829950	77948994	259	0.00018405017236940095
chr11	88445898	89085879	267	0.002561759299221313
chr11	100200601	100585952	262	0.0070917538396530365
chr11	102447525	102575127	271	0.001180780132028906
chr12	641689	875437	315	0.01748040148976339
chr12	3896569	4521478	295	0.007438447548786338
chr12	19624312	20151125	293	0.006073656613431731
chr12	24935138	25138824	291	0.003312769977225117
chr12	27159250	27571622	300	0.002527113774165813
chr12	52100987	52220031	307	0.007971502916069139
chr12	59754080	60092039	298	0.00983628843430085
chr12	65499846	66013382	306	0.0014245162322730073
chr12	69096589	69243000	317	0.024647397692900926
chr13	27151986	28009560	323	0.0005825455953584029
chr13	30203840	30696212	319	0.0016938815239993087
chr13	53968152	55186265	325	0.0010788988183576054
chr13	71050096	71897528	326	0.0005584212247254028
chr13	73286205	73405248	320	0.00012611962260720066
chr13	106006870	107280937	322	0.0006583799602707034
chr15	25337247	25692020	350	0.0014030092289255072
chr15	51849333	52543565	347	0.0012775741922847065
chr15	63264299	63734559	351	0.0006302770753917032
chr15	71528646	71647690	348	0.001541001901171308
chr15	72303492	72637942	353	0.0011383817922499058
chr15	86862062	86998071	345	0.0036636957326331185
chr15	92712490	92831533	346	0.000573680871561003
chr16	1945841	2333827	368	0.013116336115352968
chr16	4152081	4295376	373	0.013116336115352968
chr16	11637627	11775844	359	0.013116336115352968
chr16	29033031	29729008	362	0.013116336115352968
chr16	52265164	52702418	364	0.0029533892908553154
chr16	69313107	69813585	370	0.0015402269421198077
chr17	37680110	37860694	388	0.002546628165720913
chr17	48251532	48479073	383	0.0043932664764483225
chr17	52326898	52711688	377	0.013432717262212769
chr17	62571334	63664492	382	0.002262622630334812
chr17	69200499	69893902	374	0.0028432067915161144
chr19	10625699	10836058	409	0.0001541863887516008
chr19	13225661	13473891	416	6.153109328425211e-05
chr19	15209520	15367640	407	6.153109328425211e-05
chr19	33028459	33325884	410	0.00779019423735674
chr19	34977767	35361113	417	0.0038199378685042193
chr19	37298703	37801292	408	0.009574227065046948
chr2	4892318	5108590	51	0.018731862080194596
chr2	66831659	67020022	50	0.008462337216660043
chr2	102460067	102884836	38	0.001788767022183609
chr2	113265416	113384460	35	0.0003025418562183016
chr2	115361023	115746221	32	0.007725423916942339
chr2	117069373	117563143	60	0.001771028477832309
chr2	122445691	123519575	42	0.00035733365380390185
chr2	139895344	140296379	53	0.002572589105863913
chr2	194224646	195113419	41	0.002734671897479914
chr20	35471464	35590410	424	0.013714477505154869
chr20	44088199	45079172	427	0.013295559086683367
chr20	53518081	53637124	434	0.018856361632983997
chr21	33368742	33487784	435	1.6123768487229525e-05
chr3	109902444	111117557	86	0.02286335088747962
chr3	166302619	166885981	72	0.08634083844551724
chr3	168966038	169085081	64	0.040044815963627904
chr3	169830658	169949702	74	0.010812964111369356
chr3	172462495	172581538	61	0.02174932576162391
chr3	174401008	174577097	81	0.02174932576162391
chr3	177352018	177696805	77	0.02174932576162391
chr3	181555805	182210768	65	0.02174932576162391
chr5	8000355	8453031	143	0.006941029367970736
chr5	14069683	14427092	141	0.000395588007999402
chr5	16399049	16808251	145	0.003146509568243216
chr5	21982079	23108832	121	0.006327172853516632
chr5	28006282	29170486	140	0.0028688275286306146
chr5	35617386	37519978	146	0.0011728456693247062
chr5	36156759	36428058	129	0.001149578720553206
chr5	127745205	127943299	142	0.008160093732263042
chr5	138220444	138824105	123	0.007474909431226438
chr5	149551455	149680855	131	0.004695590675639124
chr5	165806843	166172416	124	0.06532263721564133
chr6	30607414	30799650	158	0.002159891887825111
chr6	41827713	42175432	163	0.00045515309740630234
chr6	43791654	43910698	148	0.0012618052052878065
chr6	46874360	47153180	159	0.0069937761605249355
chr7	14710412	15289094	179	0.07142423049837726
chr7	91822729	92620519	173	0.0028811120992388146
chr7	98914052	99856425	177	0.01150119294992056
chr7	104761551	105075031	191	0.0028811120992388146
chr7	116690916	116873158	190	0.0062882641447417325
chr7	144518649	144740044	187	0.00966687837471365
chr8	67570345	69315963	208	0.08230431435872962
chr8	112378334	113721555	198	0.04335271021581072
chr9	3690545	3997914	231	0.00019054445586860096
chr9	6395784	7050834	236	0.00010337332861920052
chr9	8556540	9321421	226	1.970757537820425e-05
chr9	12739603	13013796	232	0.00048238766394090245
chr9	13905865	14163509	219	4.490716765468644e-05
chr9	14759761	15327142	235	0.0007047507434387036
chr9	19284055	19661203	215	0.0005280978012493027
chr9	20775705	20994897	233	9.182759731981035e-05
chr9	25466495	25786524	237	0.0008091497633499041
chr9	27851455	28025194	218	0.0007349510729170038
chr9	33949655	34121484	220	0.00030424058007910156
chr9	35692549	35811593	214	0.0009597764516675049
