chrom	start	end	name	score
chr1	41358977	41499977	OG0	180.99978471729816
chr1	151542552	151683552	OG1	50.22953119681962
chr1	183140311	183323562	OG5	52.88950782053619
chr1	204361635	204502635	OG6	134.46537418680086
chr1	160960927	161101927	OG9	189.979685636205
chr1	234889836	235030836	OG10	77.71208078117186
chr1	154983511	155124511	OG11	87.16903372012132
chr1	172301814	172543614	OG14	53.15552906514783
chr1	10855454	10996454	OG15	50.23823775583624
chr1	56154147	56671449	OG16	11.655938982869143
chr1	150569391	150710391	OG17	170.3939583987387
chr1	31885955	32026955	OG18	50.49019557495174
chr1	156020252	156161252	OG19	48.16476958072269
chr1	201924469	202065469	OG25	42.27010938092268
chr1	43837422	44103803	OG26	52.9373101359306
chr1	147065974	147206974	OG27	94.11410374593014
chr1	24520964	24728815	OG29	30.931337262402497
chr1	61937528	62296800	OG30	61.11170476855485
chr1	40125950	40267175	OG32	148.1189781484248
chr1	16131975	16276281	OG33	26.826905386075715
chr1	46966151	47107151	OG34	19.972457678838108
chr1	153712188	153853188	OG35	19.84877422650383
chr1	33523082	33795480	OG36	10.46473413249068
chr1	21718597	21926345	OG37	23.45508654321503
chr1	115564012	116094318	OG38	14.975200736766292
chr1	180460278	180601278	OG40	22.24300680533487
chr1	158351130	158623569	OG41	19.122737848615337
chr1	168867968	169008968	OG42	11.956030179075942
chr2	191522106	191821852	OG46	113.6656100577898
chr2	60841404	61135894	OG47	61.59785164959617
chr2	178003560	178308451	OG48	114.6513310451756
chr2	115978875	116192210	OG49	93.0766104356778
chr2	114010668	114151668	OG53	79.58029806643489
chr2	196963392	197411138	OG56	46.73716631946687
chr2	28749257	28890257	OG57	53.69192459640302
chr2	121299906	122116335	OG58	42.12779830707519
chr2	159584719	159861861	OG59	54.38733681959183
chr2	85366923	85569864	OG60	61.32190085370743
chr2	43180687	43321687	OG62	37.93022686249681
chr2	66941437	67455018	OG66	38.83410002629154
chr2	4888317	5029317	OG69	29.057645849476323
chr2	69921789	70062789	OG71	24.415051468343066
chr2	135337327	135673643	OG72	13.58103879554099
chr2	56778747	57178067	OG74	101.24972915185369
chr2	140375589	140695075	OG75	26.61274296431072
chr2	204238738	204542295	OG76	19.99294609231657
chr2	235862799	236080411	OG77	14.901038820118128
chr2	79526198	79786238	OG78	10.34978689700436
chr2	107848741	108550134	OG79	26.87043599806144
chr2	218875429	219134637	OG80	15.106988244815636
chr2	20292775	20433775	OG83	20.90840936970089
chr2	62502049	62643049	OG85	12.266445817139932
chr2	153360761	153501761	OG87	17.321884714158635
chr2	142226324	142485226	OG88	15.183250088301092
chr2	213507520	213648520	OG89	20.58122748053097
chr2	42203763	42344763	OG91	12.900445758770566
chr2	206539160	206680160	OG92	9.482703411309773
chr2	15898214	16228998	OG94	19.262083204190255
chr2	201109161	201334456	OG95	14.670299519248852
chr2	117997714	118182723	OG96	20.96953997539957
chr2	160817550	160958550	OG97	9.675718774203627
chr2	136839617	137033956	OG99	16.778143577715806
chr2	134165678	134426358	OG100	12.525277202267466
chr2	212016132	212157132	OG102	10.265174982495944
chr2	46393476	46832053	OG104	10.178307732179585
chr2	10056915	10318439	OG105	9.653152409121748
chr2	208596411	208998994	OG106	13.171858877999792
chr3	172211148	172352148	OG107	257.5453935237764
chr3	168670621	168811621	OG110	167.56719488278367
chr3	182061950	182313547	OG111	152.18873151148972
chr3	32367875	32525113	OG115	18.37458408807065
chr3	66730811	66871811	OG116	68.77922503267598
chr3	13641838	13782838	OG118	64.8557121583773
chr3	148890524	149408947	OG119	93.6384560034846
chr3	177100176	177468438	OG120	59.18792369942571
chr3	169756023	169897023	OG122	54.05943949046885
chr3	9303915	9444915	OG123	61.29473677478285
chr3	69160749	69572749	OG127	61.32009825175618
chr3	107646241	107787241	OG130	55.92597994840499
chr3	61352703	61493703	OG131	31.450552079166528
chr3	174026761	174167761	OG132	34.92751559180348
chr3	53148660	53289660	OG133	27.014875413669348
chr3	189049700	189190700	OG137	25.73396479433665
chr3	71996149	72404809	OG139	16.47318835244178
chr3	114911378	115884017	OG141	32.88487287874624
chr3	4767217	4908217	OG142	44.879198290197
chr3	138676604	138862972	OG143	17.852024262912828
chr3	193628552	193769552	OG146	40.02401523481615
chr3	124608225	124766610	OG147	16.875910708594986
