chrom	start	end	name	score
chr1	5758281	6359521	2	0.009995364447527275
chr1	7856438	8493750	15	0.03761039611182401
chr1	14711802	15089994	27	0.007580872788667331
chr1	26780389	26989453	5	0.09515235372315944
chr11	39985638	40635879	287	0.003386252597727832
chr11	45931344	46402442	264	0.0007480265227212911
chr11	62685002	63185231	261	0.0022998282701194184
chr11	72023274	72313020	289	0.002437301335474256
chr12	45348202	45969805	301	0.020391968409394865
chr12	52402269	53168356	310	0.01566662671059345
chr12	58096082	58747276	302	0.0017068647787592088
chr12	74618787	75789025	305	0.0017700930696077988
chr12	99864342	100151810	308	8.215603636013791e-05
chr15	57326607	57557542	356	0.005746681983760398
chr17	7514447	7633490	378	0.16825873643855632
chr17	11812452	11954002	380	0.015235804125428113
chr18	24556761	25643499	400	0.0693150311996266
chr18	48538690	48667732	399	0.04810081025104076
chr2	43102216	43918289	47	0.01672352041686416
chr20	14912725	15031768	420	0.019838208677307973
chr21	24076479	25427169	437	0.041395846673848095
chr21	36239813	36482914	436	0.048734534038087966
chr22	22852244	23313369	444	0.057097174794656265
chr22	33865202	34313677	441	0.021072065954041395
chr3	50335869	50878720	67	0.014922098067679797
chr3	60412240	60531283	62	0.021243635694259768
chr3	71264717	71383760	69	0.0077603223651424805
chr4	60108690	61998938	102	0.0008836527429828475
chr4	182144814	182263857	93	0.0011878476894233896
chr4	183140721	183429619	106	0.001832265166691971
chr4	187440453	187801507	111	0.003540770289025596
chr5	56089524	56416824	138	9.312940256251996e-05
chr5	58500285	58619328	126	0.0033688650240531557
chr5	59259354	59378397	122	0.005795217581126965
chr5	66644179	68066878	147	0.027157277215042692
chr5	130572420	131214333	134	0.0014007179444506474
chr6	27812438	28791272	160	0.003460092472378756
chr6	38059700	38619466	170	0.00045310572311290775
chr6	45107899	45651436	164	0.0005783148726013383
chr6	68476072	69410191	162	0.011561719129651843
chr7	69348739	69467782	184	0.0005721301194339796
chr7	69965189	70084232	175	6.441064537185623e-06
chr7	101503243	101887721	185	0.0008488218789021527
chr7	110399106	110518149	174	1.2928460944155894e-05
chr7	151764558	152106777	192	6.464230472077947e-06
chr8	22205917	23093349	194	0.02588574421820397
chr8	37285837	38080166	199	0.04514649558339366
chr9	9423309	9542352	217	0.0038476821895523793
chr9	10991477	11494076	228	0.011031627910869538
chr9	21941390	22060433	213	0.08099503798838786
chr9	26270391	26679836	216	0.007966461729285368
chr9	28247759	28459511	225	0.0032349764007780506
chr9	31388255	32049495	222	0.004859637489898629
